"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cameroon","Cabo Verde","Central African Republic","Chad","Comoros","Republic of Congo","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","The Gambia","Ghana","Guinea","Guinea-Bissau","Côte d'Ivoire","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"513","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-03-31",0.88,0.64,3,0,-0.19,4.41,-0.37,-0.93,NA,-2.18,NA,-1.49,0.06,0.21,2.42,-0.32,-0.16,2.86,0.63,0.35,NA,1.13,NA,0.46,NA,0.24,3.44,NA,1.5,-3.54,-0.64,0.26,-2.13,-0.49,0.02,0.73,-0.74,1.02,4.15,NA,-1.78,-0.59,1.3,NA,0.74,3.66,1.91,NA,0.73,-0.12,4.2,0.98,-0.17
"514","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-04-30",-1.31,0.73,-4.38,0,0.68,6.25,1.11,0.28,NA,1.43,NA,-0.4,0.06,-1.45,1.33,1,0.71,2.28,1.43,0.55,NA,0.92,NA,0.99,NA,1.2,-0.15,NA,0.06,-3.99,1.2,-0.68,-0.59,0.33,-2.54,0.4,0.64,0.88,4.32,NA,0.28,-0.67,0.48,NA,0.58,4.52,1.09,NA,2.23,-0.07,3.87,0.57,-0.52
"515","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-05-31",0.41,0.9,0,0.05,1.39,1.53,0.28,0.15,NA,1.54,NA,1.28,0.06,0.85,2.37,0.24,0.52,0.63,-0.37,1.03,NA,0.21,NA,2.38,NA,1.15,0.52,NA,0.06,-1.95,1.08,-1.19,-8.59,0.16,-2.27,0.45,2.12,1.09,-0.17,NA,0.57,2.03,1.94,NA,0.58,17.68,1.93,NA,5.26,-0.06,0.3,0.83,-0.35
"516","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-06-30",0.68,1.11,4.14,-0.1,3.77,1.46,0.27,-0.28,NA,1.97,NA,0.28,0.07,0.68,-1.69,0.27,0.93,2.38,1.28,0.48,NA,0.84,NA,0.8,NA,0.99,1.94,NA,0.19,-5.11,4.38,0.48,-1.47,-0.16,-1.1,0.14,1.87,1.05,-1.6,NA,0.32,0.54,0.6,NA,0,20.64,4.84,NA,1.68,-0.37,-3.17,0.16,-0.52
"517","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-07-31",-2.52,1.32,5.1,0.1,0.31,0.15,1.28,0.66,NA,0.94,NA,0.25,0.1,4.27,0.31,-0.91,-0.6,2.94,-0.24,0.71,NA,0.74,NA,-1.02,NA,0.6,3.19,NA,0.33,-3.35,4.01,1.92,0.84,1.23,-0.5,0.18,0.71,0.77,-1.01,NA,3.65,0.5,0.31,NA,0,-1.18,0.77,NA,1.46,-0.09,0.51,0.62,-0.87
"518","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-08-31",1.58,1.13,-5.78,0.16,0.53,-5.56,-0.72,0.76,NA,2.74,NA,0.6,0.09,-5.1,0.83,0.76,0.26,1.15,0,0.6,NA,0.82,NA,-1.26,NA,0.97,-3.48,NA,0.36,2.39,-0.39,1.48,2.59,0.08,0.29,0.51,-4.55,0.63,3.5,NA,1.57,0.91,1.63,NA,0.72,11.44,0.28,NA,-2.92,0.26,0.52,0.82,-0.71
"519","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-09-30",4.42,1.21,-4.11,0.14,-1.92,0.05,0.54,0.98,NA,1.37,NA,0.59,0.09,4.55,4.64,-0.14,0.9,1.87,-0.69,0.84,NA,1.09,NA,-3.73,NA,0.76,1.37,NA,0.22,10.04,-2.27,1.15,0.45,0.08,0.4,0.43,5.93,0.64,3.07,NA,3.98,0.02,0.28,NA,0.14,18.32,0.4,NA,-0.71,0.73,2.87,0.53,-0.53
"520","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-10-31",-1.31,1.17,4.39,0.21,1.25,0.3,0.63,-0.42,NA,-4.92,NA,0.59,0.14,-5.34,2.29,-0.14,0.03,0.21,-0.93,0.71,NA,0.8,NA,0.34,NA,0.96,0.39,NA,0.36,4.14,-2,0.73,-3.24,1.05,4.15,0.76,-2,0.46,3.55,NA,5.02,-1.55,0.85,NA,0.72,-5.23,-1.35,NA,-2.84,0.37,2.16,7.44,-0.54
"521","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-11-30",-2.13,1.42,1.85,-0.05,-1.02,2.06,-0.9,-0.15,NA,0.65,NA,0.58,0.1,3.49,-1.66,0.14,0.29,-4.53,2.08,0.71,NA,0.46,NA,1.85,NA,0.42,-1.65,NA,0.11,7.86,-2.45,-2.24,-1.12,-1.28,3.02,0.73,-0.31,0.78,0.93,NA,-3.17,-0.17,0.38,NA,0.85,12.75,-0.28,NA,0.9,0.3,-0.05,6.76,0.18
"522","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2015-12-31",1.19,1.47,1.17,0,-0.95,3.17,0.45,-0.03,NA,-2.16,NA,0.58,0.13,-0.68,-0.36,-0.07,0.65,-0.14,0.13,0.52,NA,0.28,NA,3.22,NA,0.67,-0.41,NA,1.83,6.91,0.84,-0.78,0.09,0,8.59,-0.14,-0.92,1.16,-4.24,NA,-3.5,-0.33,0.68,NA,0.56,4.25,1.03,NA,2.93,0.07,-0.15,2.48,-0.36
"523","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-01-31",0.03,1.55,-2.99,0.45,-3.78,-2.66,-0.81,-0.59,NA,-2.5,NA,0.58,0.06,-0.79,-0.12,-2.59,1.26,0.74,-1.9,0.46,NA,0.81,NA,-1.52,NA,1.25,2.95,NA,1.51,8.01,-5.64,-0.56,3.47,-0.32,4.19,0.9,0.62,1.05,-2.43,0.99,-2.16,0.66,0.93,NA,1.68,23.94,-1.05,NA,0.39,0.15,-1.56,1.59,0.18
"524","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-02-29",-1.9,4.16,-1.85,0.6,1.47,-0.23,0.18,-0.52,NA,-1,NA,0.57,0.12,1.02,1.68,-0.26,5.33,-1.35,-0.5,0.65,NA,1.47,NA,1.05,NA,1.73,-2.5,NA,0.3,5.69,-1.49,0.01,6.53,0.41,2.39,1.92,-4.51,1.23,0.88,0.2,-0.31,-0.18,0.69,NA,2.48,18.22,-1.01,NA,0.15,-0.1,-0.27,1.16,0
"525","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-03-31",1.98,3.75,1.77,0.31,0.39,0.16,-0.18,-0.69,NA,0.25,NA,-2.73,0.22,0.75,2.03,-1.5,2.46,1.11,0.05,0.53,NA,1.4,NA,2.41,NA,2.44,3.57,NA,0.51,-5.18,0.98,0.23,3.49,2.1,0.59,3.07,-0.21,2.26,3.2,0.88,-1.39,-0.98,0.5,NA,1.88,11.1,-0.78,NA,1.4,0.04,1.14,0.88,-0.18
"526","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-04-30",1.69,3.29,4.41,0.78,2.73,2.35,0.54,0.2,NA,-0.03,NA,1.37,0.17,2.87,1.91,-0.67,2.39,1.25,0.78,0.6,NA,1.3,NA,3.21,NA,1.96,-2.57,NA,0.2,-5.55,-0.09,0.08,-3.21,-0.4,2.53,1.61,4.84,1.29,0.96,2.24,-0.83,-0.44,1.55,NA,2.11,16.36,2.91,NA,2.06,0.29,1.16,0.82,-0.36
"527","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-05-31",0.35,4.33,2.9,0.09,1.18,1.86,1.17,0.11,NA,1.24,NA,-1.32,0.15,2.15,3.82,-0.39,0.36,2.65,-1.58,0.92,NA,0.68,NA,3.57,NA,1.01,-0.56,NA,0.1,-0.93,3.54,0.79,-5.1,0.79,-0.49,1.46,2.36,2.55,-0.23,0.67,-0.96,0.45,1.29,NA,0.26,12.68,3.65,NA,3.97,1.29,-1.02,0.21,-0.54
"528","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-06-30",2.61,3.36,-1.49,-0.27,1.22,2.64,-0.71,-0.94,NA,4.9,NA,-1.48,0.33,0.76,1.13,-0.18,-0.14,1.25,0.43,0.71,NA,1.04,NA,-3.15,NA,0.21,4.09,NA,0.3,-3.55,2.65,0.61,-0.36,0.87,0.28,-0.62,3.11,1.43,2.13,-0.57,1.48,0.19,1.17,NA,0,-3.43,4.16,NA,1.9,0.25,-0.92,-0.2,-0.36
"529","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-07-31",-1.38,6.22,-3.69,0.24,-1.23,0.65,0.18,-0.15,NA,-1.46,NA,2.19,0.61,1.34,0.98,0.44,0.86,-0.04,0.19,0.77,NA,1.06,NA,-3.94,NA,-0.88,4.85,NA,0.2,-2.24,-0.08,0.73,-0.45,-0.39,0.75,1.02,0.49,1.2,2.48,-0.1,2,1.46,1.94,NA,0.52,94.17,3.68,NA,-2.99,0.21,0.91,0.18,-0.55
"530","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-08-31",0.02,4.53,-6.07,0.35,0.08,-2.75,0.18,0.97,NA,-2.51,NA,-0.03,0.68,-0.37,1.63,0.12,1.89,1.44,1.9,0.79,NA,0.87,NA,-3.94,NA,0.27,1.12,NA,0.1,2.05,-0.83,1.04,0.54,0.24,1.91,-0.17,1.74,-0.2,2.54,0.19,4.91,-1.24,2.13,NA,0.9,3.54,2.47,NA,-6.78,0.1,0.9,0.28,-0.37
"531","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-09-30",0.29,2.14,-2.69,0.34,3.01,0.7,0.18,0.53,NA,-1.45,NA,-3.5,0.85,0.29,0.69,0.71,0.96,3.56,0.61,0.77,NA,1.54,NA,-0.66,NA,0.23,0.5,NA,0.1,8.51,1.76,2.04,0.54,1.17,3.11,0.87,-0.57,2.17,3.22,0.38,3.59,1.57,0.5,NA,0.13,14.18,1.18,NA,-3.27,0.42,2.35,-0.01,0
"532","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-10-31",-1.8,0.83,0.8,0.37,-4.07,-0.91,-0.89,0.02,NA,-2.72,NA,0.65,1.12,0.24,1.41,0.72,0.09,-2.31,0.34,0.62,NA,0.92,NA,0.33,NA,0.43,2.12,NA,0.4,2.83,-1.07,0.54,-1.52,-0.85,3.14,0.56,-3.25,0.85,6.3,0.47,1.12,-1.13,1.45,NA,0.76,-1.22,1.23,NA,-2.15,-0.02,1,0.63,0.37
"533","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-11-30",2.33,1.13,4.42,0.5,0.23,4.02,0,-0.46,NA,-1.66,NA,0.4,1.06,-0.99,4.97,-1.35,1.28,-2.04,-1.07,0.85,NA,0.59,NA,1.81,NA,0.17,0.71,NA,0.3,7.37,-1.58,-0.87,0.18,-0.78,2.84,0.62,-1.98,0.88,0.83,1.22,-1.99,0.15,2.3,NA,0.5,6.77,6.26,NA,3.82,0.22,1.52,0.85,0.55
"534","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2016-12-31",0.13,2.09,1.01,0.13,-3.98,7.58,-0.36,1.17,NA,-3.33,NA,-1.71,3.64,0.26,5.26,1.57,0.86,-0.94,-0.53,0.64,NA,0.55,NA,-0.89,NA,0.24,-0.57,NA,1.19,6.59,0.25,-0.21,-0.09,-0.24,5.32,0.63,-1.41,1.31,-0.52,-0.19,1.47,-1.22,2.77,NA,0.88,22.89,1.43,NA,1.02,0.74,1.84,1.13,0.36
"535","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-01-31",2.47,2.03,3.13,0.89,-0.22,2.79,-1,-0.95,NA,-1.36,NA,0.11,1.99,-0.39,6.8,0.62,0,0.9,-1.13,1.71,NA,0.67,NA,3.02,NA,0.46,0.4,NA,1.08,5.08,-0.76,-0.55,1.09,0,4.27,1.61,-4.2,1.31,-1.57,-0.28,-3.27,0.96,2.26,NA,1.49,-5.09,-0.28,NA,-1.91,1.38,-0.04,1.21,0.91
"536","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-02-28",-1.54,1.43,-0.24,0.39,0,10.87,0.18,-0.1,NA,0.56,NA,-0.1,2.14,-0.77,4.11,0.8,1.14,1.07,0.32,0.49,NA,1.34,NA,-1.11,NA,0.25,-3.83,NA,1.84,2.61,-1.87,-0.6,3.23,-0.79,0.82,0.21,6.09,1.98,2.99,0.47,0.34,-0.21,1.79,NA,0.61,45.52,1.97,NA,-1.41,0.23,1.69,1.21,1.44
"537","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-03-31",1.83,1.72,0.28,0.49,2.28,0.74,-0.09,-0.56,NA,1.21,NA,2.3,NA,6.34,2.98,0.17,0.18,4.06,-0.36,0.33,NA,1.55,NA,1.12,NA,0.74,-1.33,NA,1.43,-5.6,-0.35,0.03,2.43,-1.43,-0.68,-0.64,0.1,2.2,2.48,1.02,-0.27,1.12,1.15,NA,0.49,-13.92,1.57,NA,1.67,0.29,1.68,0.24,-0.18
"538","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-04-30",0.47,1.55,-0.93,0.29,0.76,-0.91,1.19,-0.63,NA,1.1,NA,-1.44,NA,-3.68,3.16,-0.69,1.52,2.95,1.01,0.58,NA,1.62,NA,2.53,NA,1.63,-0.57,NA,1.31,-7.44,1.22,0.31,1.78,0.32,0.69,0.14,3.62,2.04,0.81,1.57,-2.38,-0.71,0.44,NA,-0.12,-4.5,3.83,NA,2.39,0.43,1.98,0.18,-0.36
"539","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-05-31",-1.12,1.43,0,0.29,1.63,0.05,0.36,0.24,NA,3.15,NA,-0.08,NA,-1.74,2.03,0.18,0.41,0.09,-0.64,0.55,NA,0.75,NA,1.47,NA,0.55,1.36,NA,0.37,-3.96,1.72,0.86,3,1.29,-1.54,-0.51,0.58,2.52,-2.4,-0.36,-1.84,-0.46,0.28,NA,0.48,47.78,4.93,NA,2.92,-0.27,0.99,0.07,0
"540","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-06-30",0.24,1.21,0,-0.1,1.38,-2.88,-0.27,0.39,NA,2.38,NA,1.55,NA,0.87,0.55,-0.11,-1.01,0.45,0.5,0.56,NA,1.35,NA,-1.67,NA,0.6,2.4,NA,0.28,-5.25,2.12,-0.29,0.16,0.79,-2.57,0.2,2.12,2,-3.19,2.46,0.72,-0.05,1.05,NA,0,-12.88,1.48,NA,2.26,0.19,-1.98,-0.31,-0.36
"541","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-07-31",-3.28,1.68,0,0.29,2.38,-1.09,0.18,0.4,NA,0.69,NA,1.09,NA,-0.48,2.45,-0.33,0.39,1.99,0.79,0.45,NA,1.33,NA,-0.15,NA,0.43,1.61,NA,0.37,16.64,2.57,0.65,-3.88,-1.26,-1.87,0.7,1.32,1.52,-0.11,1.51,3.37,0.84,1.53,NA,0.12,-0.04,6.74,NA,-3.42,-0.08,-1.49,-0.25,-0.36
"542","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-08-31",3.63,1.21,-0.17,-0.1,-0.94,0.34,0.9,1.33,NA,-0.82,NA,0.78,NA,-0.52,1.11,-0.55,-0.07,0.62,-0.71,0.5,NA,1.21,NA,-1.47,NA,-0.02,2.71,NA,0.46,-16.83,-0.73,1.52,-1.76,0.56,-0.67,0.13,-1.21,1.14,1.55,-0.79,4.72,0.82,1.21,NA,-0.24,3.93,3.38,NA,-1.51,1.73,0.72,0.1,-0.54
"543","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-09-30",2,1.85,0,-0.68,1.23,1.4,0.36,-0.48,NA,-0.86,NA,-1.6,NA,-1.03,0.41,0.16,-0.01,3.71,-0.86,0.54,NA,1.35,NA,-1.49,NA,0.17,0.99,NA,0.27,7.43,1.63,0.63,-2.82,1.51,0.1,0.49,-0.76,0.87,3.25,0.18,-0.15,-0.73,0.67,NA,0,7.07,2.89,NA,-4.11,0.99,1.69,-0.13,0.72
"544","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-10-31",1.04,1.83,0,0,-2.21,2.63,-0.53,-1.11,NA,-1.03,NA,0.1,NA,-0.38,0.22,-0.09,-0.07,0.39,-1.15,0.39,NA,0.84,NA,-1.36,NA,0.1,0.41,NA,0.91,2.5,-0.48,0.21,-0.44,-0.31,0.28,0.11,-0.67,0.85,1.98,0.79,0.34,-0.58,0.87,NA,0.6,-6.22,-2.15,NA,-1.47,0.88,0.13,0.52,2.15
"545","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-11-30",-0.64,0.89,0,-0.19,0.8,-0.64,0,-0.06,NA,-0.75,NA,0.77,NA,-0.32,-0.5,-0.07,0.14,-0.43,-0.15,0.25,NA,0.85,NA,-1.13,NA,0.16,1.14,NA,3.06,7.23,-1.13,-0.2,0.88,0.94,1.14,-0.14,-0.1,0.88,-6.79,0,-2.56,-0.82,3.44,NA,0.36,17.21,2.13,NA,0.56,1.63,-0.72,0.8,1.75
"546","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2017-12-31",0.26,0.89,0,-0.49,-0.99,-3.3,0.09,0.46,NA,-2,NA,-1.93,NA,1.09,-0.42,-0.09,-0.01,-1.22,0.15,0.72,NA,0.73,NA,1.64,NA,0.25,-0.6,NA,2.36,6.22,-1.63,-0.76,1.93,1.09,2.01,0.11,-0.38,0.59,-4.73,1.66,-0.37,2.05,1.96,NA,0.36,3.33,1.67,NA,0.93,0.21,-1.25,1.1,1.38
"547","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-01-31",-0.91,1.08,0,0.2,-1.14,-3.08,-0.89,0.29,NA,-0.88,NA,2.09,NA,0.71,-0.3,0.26,-0.13,1.09,0.07,0.59,NA,0.81,NA,0.81,NA,2.16,3.69,NA,0.85,8.35,-1.9,0.68,7.48,-0.92,0.91,1.17,0.38,0.87,-0.65,0.19,-0.39,0.7,1.89,NA,1.19,9.23,18.26,NA,0.44,1.1,-0.72,0.97,0.34
"548","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-02-28",-1.92,0.81,2.32,0.39,0.38,-2.06,0,0.31,NA,-0.78,NA,-1.73,NA,-0.75,0.86,-0.2,-0.18,1.73,1.97,0.48,NA,1.39,NA,-0.8,NA,-0.01,-0.67,NA,0.68,2.36,-1.78,0.15,6.64,-1.24,0.65,0.26,-2.97,0.85,0.65,0.5,3.07,-0.66,1.24,NA,0.12,1.52,3.18,NA,0.32,-0.23,0.11,1.23,-0.17
"549","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-03-31",1.41,1.26,-3.8,0.1,0.2,-1.67,0.27,-0.1,NA,-0.35,NA,-0.34,NA,0.53,1.75,-0.6,-0.04,1.6,0.36,0.56,NA,1.24,NA,2.98,NA,0.13,3.82,NA,0.59,-2.71,-1.81,0.77,2.1,0.24,0.19,0.05,-1.48,0.9,1.99,0.64,-4.22,-0.16,1.01,NA,0,11.52,2.93,NA,-0.38,1.11,0.49,1.37,0
"550","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-04-30",1.13,1.15,3.83,0.1,2.4,0.45,0.81,-0.3,NA,2.25,NA,0.42,NA,0.36,2.43,1.28,-0.27,0.79,1.5,0.57,NA,1.36,NA,0.08,NA,0.27,1.7,NA,0.33,-7.97,-1.85,0.18,-8.93,0.63,-0.55,0.26,0.8,0.91,0.83,0.71,0.44,-0.01,0.85,NA,0.35,31.93,4.2,NA,5.22,0.81,0.52,0.93,0
"551","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-05-31",3.73,1.23,2.84,0,0.97,1.15,0.27,-0.38,NA,2.29,NA,0.27,NA,0.73,-0.27,0.86,-0.07,0.62,0.63,0.45,NA,0.78,NA,-2.66,NA,0,0.92,NA,0.25,-1.61,-0.21,0.45,-1.28,1.09,-0.16,0.5,3.38,1.32,1.67,0.38,-3.45,-0.15,1.58,NA,-0.12,-11.77,7.67,NA,4.38,0.28,0.84,0.39,0
"552","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-06-30",2.01,1.18,2.03,-0.29,2.16,-2.02,-0.44,-0.21,NA,1.44,NA,-0.86,NA,-1.28,2.02,0.35,-0.4,2.49,1.33,0.56,NA,1.33,NA,2.49,NA,0.76,4.86,NA,0.5,-1.19,5.24,0.54,-3.52,0.31,-1.49,0.13,1.64,1.56,-2.86,1.03,-2.79,-0.33,1.84,NA,0.12,-7.04,4.02,NA,-2.79,-0.22,-2.06,0.29,-0.34
"553","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-07-31",-4.49,1.14,-1.36,-0.19,1.86,-1.79,-0.18,0.57,NA,-2.22,NA,0.46,NA,1.17,1.99,0.61,-0.02,1.41,0.41,0.59,NA,0.82,NA,0,NA,0.32,2.7,NA,0.33,1,2.39,0.53,-1.44,-2.3,-1.4,-0.15,-1.61,1.4,-2.18,-0.19,4.74,0.79,1.04,NA,0.23,33.42,7.92,NA,-1.08,-0.44,-2.33,0.26,0.85
"554","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-08-31",0.61,1.18,-4.45,-0.29,-2.1,-2.28,0,-0.48,NA,-1.38,NA,1.85,NA,0.44,2.95,-0.81,-0.06,0.82,0,0.66,NA,0.29,NA,1.1,NA,-0.36,2.37,NA,0.33,2.67,0.88,0.71,-1.85,-0.24,-0.07,-0.15,0.77,1.41,0.84,1.96,6.5,-2.46,1.83,NA,-0.12,-19.73,5.55,NA,-2.24,0.42,1.73,0.3,0.68
"555","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-09-30",0.22,1.17,-0.68,-0.29,-0.12,-4.11,0.98,0.57,NA,-1.29,NA,NA,NA,-0.94,4.76,0.78,0.37,0.95,-0.34,0.36,NA,1.18,NA,-3.57,NA,0.6,2.5,NA,0.33,3.6,-0.58,1.04,0.1,-0.24,0.03,0.35,-2.2,1.01,-0.52,1.79,1.37,0.47,0.89,NA,0.35,-11.58,2.98,NA,-4.18,0.12,2.2,0.09,1.01
"556","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-10-31",2.38,1.37,0.69,-0.14,-1.59,-2.63,0.98,0.53,NA,-0.53,NA,NA,NA,0.15,3.45,0.35,0.79,-0.62,0.69,0.43,NA,0.74,NA,-0.24,NA,0.38,-0.41,NA,0.16,2.41,0.19,-0.5,1.49,-0.55,0.22,0.6,-1.17,0.8,-3.02,1.87,-1.54,-0.34,-1.47,NA,0.12,-1.67,-1.26,NA,-1.04,1.54,-0.96,0.25,20.1
"557","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-11-30",-1.39,1.27,0,0.15,-2.96,1.3,0.18,-0.05,NA,-0.68,NA,NA,NA,1.04,-1.77,0.19,0.36,-0.63,0.82,0.31,NA,0.81,NA,-0.54,NA,0.58,1.78,NA,0.98,3.01,-0.1,0.03,0.2,1.74,0.6,1.51,-1.19,0.9,-1.39,-0.49,-1.74,-0.86,2.94,NA,0.47,5.73,3.13,NA,2.73,1,-0.66,0.97,14.52
"558","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2018-12-31",-2.61,1.53,-0.29,0.1,-0.36,0.59,0.18,0.02,NA,-2.6,NA,NA,NA,0.72,-6.7,-0.12,0.18,0.68,-0.68,0.64,NA,0.71,NA,1.92,NA,0.34,3.81,NA,1.21,-6.76,-2.81,0.22,-0.97,-1.33,1.27,0.54,-0.5,0.81,-2.34,0.93,1.6,0.4,-1.47,NA,0,-1.35,6.93,NA,1.92,0.4,-1.61,0.77,9.06
"559","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2019-01-31",0.56,1.2,2.25,0.4,-3.73,1.86,-1.14,0.04,NA,-3.52,NA,NA,NA,1.1,0.87,-0.55,-0.1,1.13,0.27,0.41,NA,0.39,NA,-5.19,NA,2.17,3.45,NA,0.4,17.55,-2.59,-0.35,3.94,-1.18,1.81,1.73,-2.11,0.82,-0.51,0.46,-2.02,1.17,-0.11,NA,1.39,40.46,1.94,NA,-14.97,2.16,0.34,1.06,6.98
"560","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2019-02-28",-1.32,1.1,-4.12,0.2,-0.99,-1.83,0.97,-0.81,NA,-0.2,NA,0.8,NA,0.57,3.48,0.96,0.26,1.06,-0.14,0.62,NA,1.26,NA,-0.47,NA,0.61,-2.62,NA,0.24,2.5,0.51,-0.47,3.41,-0.16,0.52,0.39,0.1,0.82,0.07,1.24,0.48,0.33,1.2,NA,0,21.15,3.62,NA,18.36,0.74,0.19,0.77,3.52
"561","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2019-03-31",1.8,1.29,3.8,0.4,0.86,1.57,0.44,-0.22,NA,-0.81,NA,-0.16,NA,0.64,1.52,-0.73,0.34,2.17,0.41,0.45,NA,1.51,NA,0.47,NA,0.64,NA,NA,0.16,0.41,-1.32,0.18,0.73,-0.4,1.15,0,-0.72,0.88,5.61,0.22,-1.82,-0.59,2.64,NA,0.34,14.16,2.67,NA,-0.52,0.51,-1,1.86,5.1
"562","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2019-04-30",-0.17,1.14,-3.76,0.4,0.74,2.32,0.44,-0.15,NA,0.39,NA,1.23,NA,0.9,0.51,-2.19,0.37,3.6,0.47,0.54,NA,0.55,NA,1.61,NA,0.48,NA,NA,0.24,-8.35,0.1,-0.06,-0.36,1.45,0.5,-0.23,-0.1,1.13,1.45,0.05,0.59,-0.46,4.12,NA,0.23,6.53,4.6,NA,0.33,-0.07,2.33,1.03,7.8
"563","Food and non-alcoholic beverages, Percentage change, Previous period","PCPIF_PC_PP_PT","2019-05-31",1.11,1.2,6.61,0.59,1.33,1.42,-0.09,1.4,NA,4.34,NA,-1.26,NA,1.03,1.54,0.28,-0.15,6.08,-0.35,0.99,NA,0.75,NA,2.51,NA,0.34,NA,NA,0.08,-2.39,0.1,0.39,-0.09,1.58,-0.6,-0.32,1.03,1.4,1.49,0.58,-0.67,0.77,-5.78,NA,0.34,5.21,4.82,NA,3.76,0.89,1.74,1.09,17.65
